UML_ID,Mill_Name,Group_Name,Group,Parent_Com,Parent Company,Comments,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,ISO,Country,Province,District,Confidence,Alternativ,Type,Alt Names
MH16032,Graha Sawit Makmur,Mr. Mikhael,,Graha Sawit Makmur,,,,,,3.55205800,99.0178670,,,,,,,,
MH16042,SINAR TAYAN INTI MULYA,Unknown,SINAR JAYA AGRO INVESTAMA (SJAI),Unknown,,,,,,-0.0346852000,110.101045,,Indonesia,,,,,,
MH16049,Palm Sassandra,Unknown,,Unknown,,,,,,4.98870800,-6.12629100,,,,,,,,
MH17004,PT Borneo Citra Persada Mandiri (BCPM),,Borneo Agri / Sulaidy,PT Borneo Citra Persada Mandiri (BCPM),,,,,,-0.6840574020274369,115.78836923862883,IDN,Indonesia,Kalimantan Timur,Kutai Barat,,,,
MH17005,Palmafrique Yassap,,Palmafrique,,,,,,,5.395430227608448,-4.444210064393291,CIV,Côte d'Ivoire,Yassap,HUILERIE DABOU,,,,
MH17010,"SATUN PALM OIL INDUSTRY CO.,LTD.",,Satun Palm Oil Industry,,Satun Palm Oil Industry,,,,,6.852127,99.876123,THA,Thailand,Satun,La-ngu,,,,
MH17011,"PALMTONGKUM CO., LTD.","PALMTONGKUM CO., LTD.",,"PALMTONGKUM CO., LTD.",,,,,,8.536188,99.229920,THA,Thailand,SURAT THANI,PHRASAENG,,,,
MH17012,Pangkoh Palm Oil Mill,,CITRA BORNEO INDAH (CBI),PT Borneo Sawit Gemilang,,,,,,-3.024112464902024,114.13183848722576,IDN,Indonesia,Kalimantan Tengah,Kotawaringin Barat,,,,
MH17013,SELUMA SAWIT LESTARI,SINAR JAYA AGRO INVESTAMA,SINAR JAYA AGRO INVESTAMA (SJAI),SINAR JAYA AGRO INVESTAMA,,,Not RSPO Certified,,,-3.9508847426147287,102.44128636886053,IDN,Indonesia,Bengkulu,Seluma,,,,
PO1000000017,AGROPALMA/CPA,AGROPALMA,AGROPALMA,AGROPALMA,AGROPALMA,,Not RSPO Certified,,2019-10-31,-2.25353900000,-48.58567000000,BRA,Brazil,Pará,Acará,1-Fully Verified,,,"CPA,,,CPA / PALMARES,AGROPALMA GROUP,AGROPALMA GROUP - CPA MILL"
PO1000000019,SEDENAK,KULIM (MALAYSIA) BERHAD,Kulim (Malaysia),EPA MANAGEMENT SDN BHD,,,RSPO Certified,"RSPO Certified, MB",2019-10-31,1.73086000000,103.53832000000,MYS,Malaysia,Johor,Kulaijaya,1-Fully Verified,,,"JOHOR CORPORATION,SEDENAK KELAPA SAWIT SEDENAK,SEDENAK PALM OIL MILL,,,,,,,,,,,,,,,,,,,,EPA MANAGEMENT SDN BHD (SEDENAK) / KILANG KELAPA
SAWIT SEDENAK,,,EPA MANAGEMENT SDN BHD (SEDENAK PALM OIL MILL),KILANG KELAPA SAWIT SEDENAK,KILANG KELAPA SAWIT SEDENAK,KULIM (MALAYSIA) BERHAD - SEDENAK PALM OIL MILL,KULIM (MALAYSIA) BERHAD - SEDENAK PALM OIL MILL,MAHAMURNI (SEDENAK POM),MAHAMURNI PLANTATIONS
(SEDENAK),KWALAINTAN SAWITSELATAN MILL,SEDENAK POM,MAHAMURNI PLANTATION SDN BHD (SEDENAK PALM OIL MILL),MAHAMURNI PLANTATION SDN BHD (SEDENAK PALM OIL MILL),,,KULIM (MALAYSIA)
BERHAD - SEDENAK PALM
OIL MILL"
PO1000000020,MOSA,NBPOL,NBPOL,NEW BRITAIN PALM OIL,NBPOL,,RSPO Certified,"RSPO Certified, IP",2019-10-31,-5.62250000000,150.23735000000,PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,,",,,,,,,MOSA MILL,MOSA*,NEW BRITAIN PALM OIL LIMITED,NEW BRITAIN PALM OIL LIMITED,NEW BRITAIN PALM OIL LIMITED,MASS,MOSA "
